NAME,Area_SqMi,APRACRE03,APRACRE14,RTOTAPRCHG
Central Gardens Area,1.281784580540000,"746,922.714045126340000","990,602.502315505990000",0.072003551830297
Cooper Young,0.671482630895000,"553,493.380997329250000","757,907.758094080490000",0.377009397096930
Sea Isle Park,2.070974087490000,"527,346.022016894770000","474,637.026477749980000",-0.096217037160234
Chickasaw Gardens,0.294677098599000,"1,194,147.361584198700000","1,310,568.572941488400000",0.075426192207500
East Buntyn,0.282429151037000,"516,791.438057739810000","560,708.635464733820000",0.081058868320063
Red Acres,0.459398466250000,"561,878.103462259870000","555,216.468090126870000",0.031843004793871
Cordova,39.249763892300003,"183,837.219029418130000","280,118.361250032500000",0.406777352627145
Gray's Creek,32.197610919600002,"48,597.654911563935000","80,098.622378157655000",0.636793756887952
Harbor Town,0.207052280890000,"1,093,257.542407615800000","1,308,719.926538108100000",0.323629855266024
Hickory Hill,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Belvedere,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
